종목코드,기준일자,시가,고가,저가,종가,전일대비,거래량,거래대금,등락률,개인거래대금,외인거래대금,기관거래대금,시가,고가,저가,종가,전일대비,거래량,외인보유,외인보유전일대비,외인비중,등락률,거래대금,개인순매수,외인순매수,기관순매수,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드,국가지자체,CLASS
A008560,20181127,2092,2102,2079,2099,16.4,239211,4554649,0.79,,,,4430,4450,4395,4400,-20,1081480,47982483,149778,7.92,-0.45,478324,42426,192690,-234883,-78053,31753,-3587,33029,-7982,0,-255,22,-200401,-9642,-0.8
A008560,20181126,2060,2084,2060,2083,25.54,237710,4482314,1.24,,,,4310,4460,4305,4420,105,1520324,47832705,216715,7.9,2.43,669941,-465306,328156,139100,-78003,1895,85214,15202,-80,105664,-1934,-16,5048,4160,-0.45
A008560,20181123,2073,2076,2048,2057,-12.47,227202,3774227,-0.6,,,,4325,4365,4290,4315,15,734996,47615990,23354,7.86,0.35000000000000003,317899,-37432,40014,32007,9331,2102,-8229,52830,10,-7162,-34606,17,-19501,2626,2.43
A008560,20181122,2079,2082,2066,2070,-6.6000000000000005,242498,4152745,-0.32,,,,4400,4410,4295,4300,-95,1372350,47592636,296284,7.86,-2.16,594380,-4736,349724,-388943,338,-88832,31182,-175904,-325,-32627,44253,-298,-124190,1415,0.35
A008560,20181121,2057,2077,2050,2077,-6.03,267903,5151648,-0.29,,,,4435,4440,4345,4395,-65,1751880,47296352,363912,7.8100000000000005,-1.46,766567,90899,458446,-544458,-14413,16014,-25972,-271180,185,-79834,-4605,-282,-170210,952,-2.16
A008560,20181120,2075,2090,2075,2083,-17.98,281685,5043725,-0.86,,,,4430,4475,4405,4460,-15,1111879,46932440,80787,7.75,-0.34,494278,-157648,118867,43732,203432,-42402,-116022,1000,110,-7529,-4361,-590,5074,69,-1.46
A008560,20181119,2096,2111,2089,2101,8.16,273198,4703756,0.39,,,,4460,4510,4435,4475,40,1240467,46851653,278605,7.74,0.9,554551,-217240,316685,-97677,176094,-79332,-91788,-26616,45,-87793,-1754,-14,10220,1493,-0.34
A008560,20181116,2098,2103,2087,2092,4.34,301604,4837651,0.21,,,,4445,4465,4395,4435,10,1038359,46573048,242379,7.69,0.23,459833,-174810,276815,-101445,-32507,6600,-33,-45671,15,-16314,-559,-1,-26591,13056,0.9
A008560,20181115,2061,2089,2059,2088,20.01,351042,4828619,0.97,,,,4420,4450,4335,4425,-35,1997955,46330669,422552,7.65,-0.78,875661,-126754,446352,-336699,-11662,-180414,-16462,0,85,-57011,16532,569,-93157,21922,0.23
A008560,20181114,2071,2075,2061,2068,-3.18,339046,5561968,-0.15,,,,4500,4540,4410,4460,-35,2005902,45908117,704217,7.58,-0.78,894338,-25846,650017,-615230,-44618,-12426,-7577,16602,0,-307939,-8388,-553,-291981,32709,-0.78
A008560,20181113,2048,2072,2032,2071,-9.21,383421,5865351,-0.44,,,,4400,4495,4330,4495,35,2570844,45203900,395399,7.46,0.78,1137654,-733192,559921,194649,294064,13275,-153775,0,-860,-184806,-18968,-2410,-21990,248741,-0.78
A008560,20181112,2066,2087,2066,2080,-5.65,295528,5542962,-0.27,,,,4325,4470,4320,4460,35,2046258,44808501,315901,7.4,0.79,907548,-772474,315901,467164,247686,-21597,-22790,0,-20,-143657,-8861,-1730,250417,157125,0.78
A008560,20181109,2094,2102,2082,2086,-6.54,298072,5260639,-0.31,,,,4400,4440,4350,4425,20,2837270,44492600,1055167,7.3500000000000005,0.45,1253595,-625215,1019011,-369619,-51072,-155206,-131709,115,-10,-82266,-24561,384,-5082,55611,0.79
A008560,20181108,2110,2121,2092,2093,13.94,328034,5987514,0.67,,,,4375,4445,4340,4405,115,3629381,43437433,870900,7.17,2.68,1597535,-1624905,875660,807506,-141534,204365,224036,27448,-582,89826,-56947,-1314,345222,58725,0.45
A008560,20181107,2090,2108,2072,2079,-10.93,485225,6452003,-0.52,,,,4230,4385,4230,4290,85,5247207,42566533,883361,7.03,2.02,2271564,-2117791,997650,1051059,-204489,24112,176870,0,-75,189856,67465,1617,34537,830248,2.68
A008560,20181106,2086,2093,2069,2090,12.700000000000001,315816,5143563,0.61,,,,4165,4235,4120,4205,90,2236536,41683172,603868,6.88,2.19,939500,-746715,603868,66875,-5407,-49708,139529,-50000,8269,-69965,79131,-3159,96860,-2703,2.02
A008560,20181105,2080,2080,2053,2077,-19.080000000000002,361302,4917286,-0.91,,,,4195,4195,4035,4115,-80,2228690,41079304,143996,6.78,-1.9100000000000001,910048,660269,-7042,-680443,-204969,-143388,-323544,-12386,125,19362,24455,2761,-1363,-14280,2.19
A008560,20181102,2047,2097,2045,2096,71.54,371978,6798069,3.5300000000000002,,,,4060,4205,4035,4195,180,3619648,40935308,1342565,6.76,4.48,1507382,-1951982,1514741,440203,40372,-47140,252684,0,-155,84477,-4091,1129,108537,1428,-1.91
A008560,20181101,2035,2054,2023,2024,-5.23,343813,5965853,-0.26,,,,3975,4055,3935,4015,45,1568840,39592743,570477,6.54,1.1300000000000001,629949,-418020,174479,244238,-93177,5945,78669,2291,2027,66515,-647,-50,190536,-8568,4.48
A008560,20181031,2023,2031,2007,2030,15.0,373027,6347335,0.74,,,,3910,3975,3880,3970,90,1478275,39022266,402789,6.44,2.32,583016,-247678,431198,-182942,-311656,118604,53951,0,15474,-33554,-546,-32,9759,-35520,1.13
A008560,20181030,1986,2029,1986,2015,18.64,441585,7022060,0.93,,,,3845,3920,3830,3880,-5,1897427,38619477,-6188,6.38,-0.13,734996,16045,-49572,40260,180593,171988,-48407,21981,-31905,-149170,-6945,212,-98881,-5939,2.32
A008560,20181029,2027,2046,1994,1996,-31.1,427304,6359734,-1.53,,,,3990,4035,3880,3885,-80,2162636,38625665,124696,6.38,-2.02,854707,-345024,124696,212115,143833,14451,-190017,60000,55,10267,7963,250,81434,92092,-0.13
A008560,20181026,2067,2067,2009,2027,-36.15,449197,6688109,-1.75,,,,4000,4075,3915,3965,-10,2839223,38500969,-80530,6.36,-0.25,1133358,-499558,18014,494440,111698,55696,467849,22544,30,-259680,-12017,-879,58360,37943,-2.02
A008560,20181025,2047,2066,2034,2063,-34.28,376014,7607756,-1.6300000000000001,,,,3895,3985,3890,3975,-45,2126893,38581499,129467,6.37,-1.12,838904,-199020,129943,153245,290677,22144,104951,2161,-29629,-236140,-83794,-374,-22584,21665,-0.25
A008560,20181024,2119,2121,2092,2098,-8.52,399734,6490106,-0.4,,,,3990,4040,3940,4020,110,2171721,38452032,417441,6.3500000000000005,2.81,869752,-762695,474996,295083,290789,-2792,102636,0,-35,-100625,1560,-8944,9067,-3957,-1.12
A008560,20181023,2147,2149,2095,2106,-55.61,373468,6995701,-2.57,,,,3980,4000,3895,3910,-90,1888262,38034591,244928,6.28,-2.25,744955,-319248,256352,89591,24292,-33736,62903,0,40,46608,-25410,-1285,-7118,-3398,2.81
A008560,20181022,2143,2163,2137,2162,5.45,308740,3910411,0.25,,,,3850,4010,3830,4000,175,2307997,37789663,419141,6.24,4.58,916515,-882456,419141,536776,75284,129020,20123,0,-2265,243963,-4104,-69357,91979,-21328,-2.25
A008560,20181019,2130,2159,2118,2156,7.95,351771,4875051,0.37,,,,3810,3865,3795,3825,-15,2879960,37370522,104557,6.17,-0.39,1103264,-208770,14298,128854,95312,22170,-122434,0,125,122349,65784,-166,27008,-15676,4.58
A008560,20181018,2159,2168,2147,2148,-19.2,321762,4229126,-0.89,,,,3855,3915,3820,3840,-10,1111963,37265965,205228,6.15,-0.26,430543,-253688,179044,52287,30035,15389,3843,0,25,28806,22519,-162,-27111,1300,-0.39
A008560,20181017,2169,2183,2159,2168,22.39,275159,5284969,1.04,,,,3860,3945,3835,3850,55,1529900,37060737,-192635,6.12,1.45,596111,-348668,-222243,541962,205585,285,73629,0,20,76713,25711,3238,186556,-826,-0.26
A008560,20181016,2156,2162,2140,2145,0.0,222512,3936707,0.0,,,,3815,3865,3780,3795,0,1071675,37253372,-241502,6.15,0.0,408423,134428,-230378,33391,-24470,-1773,-3431,-8541,-35,-9809,59619,2940,-6032,87482,1.45
A008560,20181015,2155,2159,2141,2145,-16.73,259176,4708940,-0.77,,,,3825,3870,3775,3795,-35,1246884,37494874,169305,6.19,-0.91,476348,-183201,72330,111503,-65959,16420,58879,40000,-2,26549,205,-837,-13704,49320,0
A008560,20181012,2132,2173,2129,2162,32.18,292573,6085083,1.51,,,,3760,3850,3760,3830,70,1728536,37325569,67189,6.16,1.86,660136,-377170,67189,311618,10255,98781,99499,26000,2463,120907,-844,-793,-20495,-25792,-0.91
A008560,20181011,2176,2187,2130,2130,-98.94,411919,8335698,-4.44,,,,3780,3860,3750,3760,-160,2905816,37258380,-265,6.15,-4.08,1098997,7138,8299,-195,-96887,237398,97053,94250,-5615,-153283,-14887,-355,-209220,36109,1.86
A008560,20181010,2256,2258,2223,2229,-25.22,365683,8836407,-1.12,1008,-2297,1156,4000,4015,3875,3920,-85,1592887,37258645,-2530,6.15,-2.12,625337,194098,4375,-178782,-45543,48051,5265,9538,0,10045,-851,-18840,-221686,15548,-4.08
A008560,20181008,2259,2274,2254,2254,-13.69,214644,4478791,-0.6,1330,-1782,318,4025,4035,3985,4005,-15,684502,37261175,-61820,6.15,-0.37,274933,-187059,-35322,261210,1800,11050,52791,0,10,181232,-29939,-8890,-39499,53826,-2.12
A008560,20181005,2270,2278,2251,2268,-6.97,282139,6398398,-0.31,2024,-3307,1116,4005,4080,3935,4020,-5,1099920,37322995,-19304,6.16,-0.12,442201,-27937,-14919,-15592,-69732,84480,44413,0,40,-110944,62353,-3905,52244,-16093,-0.37
A008560,20181004,2311,2311,2270,2274,-35.08,309502,7606334,-1.52,5811,-5294,-602,4070,4105,3980,4025,-70,1628445,37342299,282948,6.17,-1.71,656192,-185850,304618,-82762,-70236,37215,199958,0,50,-67195,-33490,-2516,-157636,-24918,-0.12
A008560,20181002,2338,2342,2309,2310,-29.310000000000002,287868,6394764,-1.25,3089,-2411,-849,4150,4175,4075,4095,-75,1287544,37059351,-123315,6.12,-1.8,528937,-59025,-72418,99192,-21833,-68549,35453,13568,15,78168,28154,4097,85116,-22746,-1.71
A008560,20181001,2350,2352,2333,2339,-4.19,278310,5541730,-0.18,1242,-541,-393,4155,4170,4125,4170,15,885843,37182666,-29695,6.140000000000001,0.36,367740,-88003,10482,66574,9430,49920,-128505,0,-636,189096,8047,2900,-21409,-31322,-1.8
A008560,20180928,2356,2357,2337,2343,-12.36,317870,7215237,-0.52,1305,-2249,648,4200,4210,4120,4155,-45,1480790,37212361,-86399,6.140000000000001,-1.07,616337,367698,-39339,-408542,31603,-99928,-8543,-259520,285,92997,80183,0,-131002,-34434,0.36
A008560,20180927,2332,2355,2332,2355,16.26,279230,7299705,0.7000000000000001,-1362,2283,-1298,4090,4220,4090,4200,90,1583497,37298760,503741,6.16,2.19,660558,-713678,295617,441516,-22539,181325,10846,-49553,-105,270986,-18355,-5100,43060,7496,-1.07
A008560,20180921,2332,2339,2325,2339,15.72,321703,8286570,0.68,-2021,8233,-771,4130,4150,4100,4110,20,1393723,36795019,75064,6.08,0.49,575676,23851,77620,-103917,-59341,123826,-195686,-25000,-235,187154,2456,-10,40916,-175551,2.19
A008560,20180920,2314,2334,2312,2323,14.99,289085,6468799,0.65,-4134,2929,998,4080,4165,4060,4090,10,1604777,36719955,-2188,6.0600000000000005,0.25,660919,-559698,-2188,573429,-9332,77373,236862,0,-490,38150,8777,-20320,24974,205892,0.49
A008560,20180919,2319,2319,2302,2308,-0.52,350949,6382677,-0.02,-1095,3865,137,4050,4100,4025,4080,30,921323,36722143,-89428,6.0600000000000005,0.74,374766,-276938,-69522,349922,6064,157009,23168,0,-495,58892,-1405,-2057,84577,20707,0.25
A008560,20180918,2288,2311,2287,2309,5.97,309235,5794170,0.26,-475,-828,996,4000,4100,3990,4050,10,979788,36811571,155056,6.08,0.25,396312,-165840,166480,-68295,-14828,-10675,-55752,-342,-30,14384,68834,-1179,21000,-22052,0.74
A008560,20180917,2315,2315,2295,2303,-15.24,343167,5079753,-0.66,690,1755,-1783,4115,4115,4000,4040,-80,1317335,36656515,113958,6.05,-1.94,531049,181510,114021,-325128,-41437,78542,-110479,0,25,-70787,29138,459,-53766,-127226,0.25
A008560,20180914,2305,2319,2304,2318,32.02,292236,5839237,1.4000000000000001,-4833,2036,2713,4080,4160,4070,4120,40,2154387,36542557,-298437,6.03,0.98,890338,-298270,-298437,601810,137133,14308,224590,0,-7000,-38364,-2357,-2746,214121,57022,-1.94
A008560,20180913,2285,2292,2282,2286,3.31,301308,6598920,0.14,388,-2690,1987,4070,4090,4020,4080,30,1284043,36840994,17787,6.08,0.74,522584,-284438,-213,286131,4804,111504,145099,580,-542,17448,-956,-524,64027,-56789,0.98
A008560,20180912,2286,2290,2271,2283,-0.28,336830,6445490,-0.01,1840,-4152,1988,4040,4075,4000,4050,5,1459866,36823207,-272920,6.08,0.12,589542,-250317,-239600,496551,72570,-5392,27639,-90964,0,341904,-5364,-1270,184182,-33388,0.74
A008560,20180911,2287,2296,2275,2283,-5.46,368210,6188337,-0.24,1923,-1891,-430,3870,4060,3870,4045,170,3034191,37096127,34438,6.13,4.39,1212591,-1229776,34438,1274492,135727,185401,348144,-53733,-7759,582975,-80413,1259,49230,34507,0.12
A008560,20180910,2277,2289,2277,2289,7.08,312612,5599499,0.31,-411,1211,-341,3875,3920,3840,3875,0,968495,37061689,-205480,6.12,0.0,376479,-575,-131116,163311,-23224,-2333,31034,-683,-5,160110,-24630,-6990,-21175,19587,4.39
A008560,20180907,2278,2287,2265,2282,-6.03,357560,6263720,-0.26,2196,-7719,5057,3825,3880,3805,3875,75,1216598,37203276,0,6.140000000000001,1.97,468058,-44957,63893,-20432,90940,-33209,-2000,0,-52070,36932,956,540,-39544,-21481,0
A008560,20180906,2289,2298,2285,2288,-4.16,387510,5679574,-0.18,1148,-2933,1134,3855,3885,3795,3800,-55,1061018,37203276,-41400,6.140000000000001,-1.43,405673,153817,17197,-145403,-7780,53006,-205706,0,25,-7932,-31040,5429,1486,21498,1.97
A008560,20180905,2311,2315,2288,2292,-23.95,358187,5390488,-1.03,2473,-971,-1967,3920,3920,3840,3855,-65,1286864,37244676,17635,6.15,-1.6600000000000001,499189,-32523,107425,-77627,-84267,1953,-159223,0,-11062,249969,-665,3390,-34337,-40660,-1.43
A008560,20180904,2309,2318,2302,2316,8.69,277014,4551220,0.38,-340,219,-133,3940,3950,3885,3920,-10,1186173,37227041,122508,6.15,-0.25,464785,-51861,61695,23843,-23394,-4207,-172826,0,-8514,174646,-33947,270,96957,-38819,-1.66
A008560,20180903,2318,2319,2302,2307,-15.85,230513,4096555,-0.68,2376,-2173,-809,3945,3960,3900,3930,-30,1024139,37104533,95690,6.13,-0.76,403078,-284568,103831,205974,5041,-19658,114345,0,304,111417,-24667,-570,-5450,-25,-0.25
A008560,20180831,2298,2323,2296,2323,15.530000000000001,255908,5525835,0.67,-1687,3967,-2643,3920,3970,3880,3960,10,1311323,37008843,25528,6.11,0.25,515055,3897,58186,-55034,-97176,7223,-42992,0,250,346020,-9329,2280,-5290,-263069,-0.76
A008560,20180830,2313,2321,2305,2307,-1.68,286926,5252383,-0.07,660,2223,-3215,3945,3975,3885,3950,10,1638026,36983315,-37605,6.11,0.25,645731,-354659,1916,364580,216,118784,-8895,0,-85,213267,-12137,300,81822,-40529,0.25
A008560,20180829,2305,2310,2300,2309,5.91,268214,4807772,0.26,-2217,1146,4282,3845,3955,3820,3940,100,3467286,37020920,361462,6.11,2.6,1358396,-1476095,400325,1147951,4351,253620,351080,33320,-5852,518711,-81498,9317,65731,-73010,0.25
