종목코드,기준일자,시가,고가,저가,종가,전일대비,거래량,거래대금,시가,고가,저가,종가,전일대비,거래량,외인보유,외인보유전일대비,외인비중,등락률,거래대금,개인순매수,외인순매수,기관순매수,금융투자,보험,투신,은행,기타금융,연기금,기타법인,기타외인,사모펀드,국가지자체,CLASS
A035900,20181218,654,665,654,660,-2.23,675886,3521203,28200,29100,27550,28950,100,521534,4195908,36731,11.88,0.35000000000000003,1491352,-125097,36731,92005,4232,10287,-874,-8008,-191,28845,-3987,348,57714,0,3.45
A035900,20181217,665,666,653,662,-4.44,550124,3392667,31150,31300,28500,28850,-2500,1203641,4159177,-207041,11.77,-7.97,3500633,399486,-207041,-193838,-5526,-15266,-31842,1995,1594,-121444,648,745,-23349,0,0.35
A035900,20181214,681,681,663,666,-15.44,522166,3538722,30700,31600,30550,31350,500,454074,4366218,-7322,12.36,1.62,1418756,-177789,-7322,184721,6799,-1830,64143,2698,0,98338,688,-298,14573,0,-7.97
A035900,20181212,665,677,665,676,15.47,524545,2740279,29800,30650,29600,30600,800,299944,4387729,-113284,12.42,2.68,909008,-97851,57472,40212,14301,2061,3819,-4000,0,10133,630,-463,13898,0,1.62
A035900,20181211,673,674,661,661,-9.38,566811,3336836,29950,30650,29600,29800,-300,424611,4501013,12951,12.74,-1.0,1276368,30218,27540,-57097,9478,9814,-57620,2770,0,3045,-778,117,-24584,0,2.68
A035900,20181210,676,680,667,670,-14.94,495079,2643646,30000,30650,29800,30100,-650,289444,4488062,15333,12.700000000000001,-2.11,873536,24444,35333,-58337,-5668,-234,-8565,-2839,0,-22291,-1558,118,-18740,0,-1
A035900,20181206,699,700,677,678,-22.740000000000002,637155,3066759,31250,31600,29600,30200,-1200,850641,4418070,47679,12.51,-3.8200000000000003,2580171,88923,85923,-178132,4497,-16515,-13499,-1089,-217,-77567,2670,616,-69454,-4288,-2.11
A035900,20181205,695,703,695,701,-7.51,639456,2996231,32450,32800,30800,31400,-1700,787652,4370391,-54473,12.370000000000001,-5.14,2494743,240510,-76473,-156538,-5496,-4084,-35031,-3060,0,-7938,-8623,1124,-100739,-190,-3.82
A035900,20181204,709,712,704,709,-0.8300000000000001,656060,2990364,32250,33300,32250,33100,650,408042,4424864,190159,12.530000000000001,2.0,1342380,-88541,133230,-46185,-9346,871,1842,245,-1527,12365,1105,391,-46499,-4136,-5.14
A035900,20181203,704,710,703,709,13.700000000000001,549159,3055096,32750,32850,32100,32450,50,351219,4234705,133474,11.99,0.15,1141709,20325,19009,-41290,5551,-1732,4365,2215,0,341,1942,14,-62992,10962,2
